County,Median Household Income
"Houston County, Georgia",71237
"Irwin County, Georgia",49224
"Jackson County, Georgia",82138
"Jasper County, Georgia",63718
"Jeff Davis County, Georgia",46143
"Jefferson County, Georgia",44459
"Jenkins County, Georgia",41830
"Johnson County, Georgia",42603
"Jones County, Georgia",65515
"Lamar County, Georgia",61542
"Lanier County, Georgia",50671
"Laurens County, Georgia",47918
"Lee County, Georgia",84260
"Liberty County, Georgia",59807
"Lincoln County, Georgia",69776
"Long County, Georgia",71285
"Lowndes County, Georgia",52623
"Lumpkin County, Georgia",71486
"McDuffie County, Georgia",50593
"McIntosh County, Georgia",51411
"Macon County, Georgia",40089
"Madison County, Georgia",58789
"Marion County, Georgia",47174
"Meriwether County, Georgia",53019
"Miller County, Georgia",45201
"Mitchell County, Georgia",45296
"Monroe County, Georgia",76428
"Montgomery County, Georgia",48356
"Morgan County, Georgia",74340
"Murray County, Georgia",62109
"Muscogee County, Georgia",53740
"Newton County, Georgia",72128
"Oconee County, Georgia",114758
"Oglethorpe County, Georgia",62504
"Paulding County, Georgia",87459
"Peach County, Georgia",58471
"Pickens County, Georgia",71955
"Pierce County, Georgia",52695
"Pike County, Georgia",80626
"Polk County, Georgia",54894
"Pulaski County, Georgia",46975
"Putnam County, Georgia",62241
"Quitman County, Georgia",41516
"Rabun County, Georgia",63387
"Randolph County, Georgia",39188
"Richmond County, Georgia",50079
"Rockdale County, Georgia",71984
"Schley County, Georgia",57510
"Screven County, Georgia",52713
"Seminole County, Georgia",45223
"Spalding County, Georgia",55086
"Stephens County, Georgia",51980
"Stewart County, Georgia",41158
"Sumter County, Georgia",44677
"Talbot County, Georgia",45163
"Taliaferro County, Georgia",42138
"Tattnall County, Georgia",47401
"Taylor County, Georgia",44035
"Telfair County, Georgia",41547
"Terrell County, Georgia",53281
"Thomas County, Georgia",52236
"Tift County, Georgia",52962
"Toombs County, Georgia",45125
"Towns County, Georgia",59273
"Treutlen County, Georgia",43533
"Troup County, Georgia",55852
"Turner County, Georgia",40865
"Twiggs County, Georgia",48772
"Union County, Georgia",64588
"Upson County, Georgia",48061
"Walker County, Georgia",53407
"Walton County, Georgia",83037
"Ware County, Georgia",48245
"Warren County, Georgia",44367
"Washington County, Georgia",48462
"Wayne County, Georgia",51102
"Webster County, Georgia",45987
"Wheeler County, Georgia",35952
"White County, Georgia",62100
"Whitfield County, Georgia",61680
"Wilcox County, Georgia",44905
"Wilkes County, Georgia",47377
"Wilkinson County, Georgia",49648
"Worth County, Georgia",48956
"Hawaii County, Hawaii",71143
"Honolulu County, Hawaii",96304
"Kauai County, Hawaii",81939
"Maui County, Hawaii",89794
x,87748
"Adams County, Idaho",56374
"Bannock County, Idaho",62120
"Bear Lake County, Idaho",66006
"Benewah County, Idaho",56188
"Bingham County, Idaho",70052
"Blaine County, Idaho",98707
"Boise County, Idaho",74121
"Bonner County, Idaho",64860
"Bonneville County, Idaho",74505
"Boundary County, Idaho",62801
"Butte County, Idaho",57085
"Camas County, Idaho",73311
"Canyon County, Idaho",70594
"Caribou County, Idaho",70354
"Cassia County, Idaho",68170
"Clark County, Idaho",53366
"Clearwater County, Idaho",57081
"Custer County, Idaho",57405
"Elmore County, Idaho",63009
"Franklin County, Idaho",71669
"Fremont County, Idaho",61115
"Gem County, Idaho",60771
"Gooding County, Idaho",59838
"Idaho County, Idaho",60907
"Jefferson County, Idaho",76474
"Jerome County, Idaho",61509
"Kootenai County, Idaho",75583
"Latah County, Idaho",60108
"Lemhi County, Idaho",55554
"Lewis County, Idaho",55128
"Lincoln County, Idaho",61658
"Madison County, Idaho",52224
"Minidoka County, Idaho",60834
"Nez Perce County, Idaho",65558
"Oneida County, Idaho",66175
"Owyhee County, Idaho",57142
"Payette County, Idaho",61725
"Power County, Idaho",57426
"Shoshone County, Idaho",47005
"Teton County, Idaho",95580
"Twin Falls County, Idaho",63860
"Valley County, Idaho",74166
"Washington County, Idaho",55072
"Adams County, Illinois",61747
"Alexander County, Illinois",41378
"Bond County, Illinois",66071
"Boone County, Illinois",83695
"Brown County, Illinois",78081
"Bureau County, Illinois",63042
"Calhoun County, Illinois",68525
"Carroll County, Illinois",64157
"Cass County, Illinois",62129
"Champaign County, Illinois",61205
"Christian County, Illinois",56888
"Clark County, Illinois",63655
"Clay County, Illinois",55282
"Clinton County, Illinois",79612
"Coles County, Illinois",57712
"Cook County, Illinois",76614
"Crawford County, Illinois",66333
"Cumberland County, Illinois",79140
"DeKalb County, Illinois",71882
"De Witt County, Illinois",64262
"Douglas County, Illinois",67796
"DuPage County, Illinois",102383
"Edgar County, Illinois",63430
"Edwards County, Illinois",58387
"Effingham County, Illinois",74800
"Fayette County, Illinois",57729
"Ford County, Illinois",67135
"Franklin County, Illinois",49108
"Fulton County, Illinois",57362
"Gallatin County, Illinois",51367
"Greene County, Illinois",58196
"Grundy County, Illinois",93882
"Hamilton County, Illinois",56984
"Hancock County, Illinois",63324
"Hardin County, Illinois",46568
"Henderson County, Illinois",61892
"Henry County, Illinois",70517
"Iroquois County, Illinois",65181
"Jackson County, Illinois",44756
"Jasper County, Illinois",66290
"Jefferson County, Illinois",58623
"Jersey County, Illinois",72363
"Jo Daviess County, Illinois",67217
"Johnson County, Illinois",59794
"Kane County, Illinois",93475
"Kankakee County, Illinois",70494
"Kendall County, Illinois",102509
"Knox County, Illinois",57666
"Lake County, Illinois",101621
"La Salle County, Illinois",64711
"Lawrence County, Illinois",57460
"Lee County, Illinois",67371
"Livingston County, Illinois",74418
"Logan County, Illinois",53775
"McDonough County, Illinois",52812
"McHenry County, Illinois",99128
"McLean County, Illinois",71825
"Macon County, Illinois",60648
"Macoupin County, Illinois",69880
"Madison County, Illinois",67441
"Marion County, Illinois",58489
"Marshall County, Illinois",69593
"Mason County, Illinois",60784
"Massac County, Illinois",52880
"Menard County, Illinois",78115
"Mercer County, Illinois",70430
"Monroe County, Illinois",100487
"Montgomery County, Illinois",56381
"Morgan County, Illinois",64842
"Moultrie County, Illinois",75505
"Ogle County, Illinois",78577
"Peoria County, Illinois",65421
"Perry County, Illinois",53051
"Piatt County, Illinois",85430
"Pike County, Illinois",54244
"Pope County, Illinois",54878
"Pulaski County, Illinois",44873
"Putnam County, Illinois",83029
"Randolph County, Illinois",62575
"Richland County, Illinois",56831
"Rock Island County, Illinois",62652
"St. Clair County, Illinois",67185
"Saline County, Illinois",50979
"Sangamon County, Illinois",73684
"Schuyler County, Illinois",62968
"Scott County, Illinois",64853
"Shelby County, Illinois",65396
"Stark County, Illinois",59234
"Stephenson County, Illinois",60988
"Tazewell County, Illinois",73285
"Union County, Illinois",51116
"Vermilion County, Illinois",52083
"Wabash County, Illinois",63777
"Warren County, Illinois",57357
"Washington County, Illinois",71958
"Wayne County, Illinois",53359
"White County, Illinois",54611
"Whiteside County, Illinois",62038
"Will County, Illinois",97076
"Williamson County, Illinois",64152
"Winnebago County, Illinois",62557
"Woodford County, Illinois",85892
"Adams County, Indiana",60620
"Allen County, Indiana",65967
"Bartholomew County, Indiana",68910
"Benton County, Indiana",62248
"Blackford County, Indiana",54825
"Boone County, Indiana",102805
"Brown County, Indiana",74161
"Carroll County, Indiana",64731
"Cass County, Indiana",60452
"Clark County, Indiana",68493
"Clay County, Indiana",59057
"Clinton County, Indiana",60916
"Crawford County, Indiana",53547
"Daviess County, Indiana",63777
"Dearborn County, Indiana",77621
"Decatur County, Indiana",65847
"De Kalb County, Indiana",72910
"Delaware County, Indiana",54059
"Dubois County, Indiana",71171
"Elkhart County, Indiana",63777
"Fayette County, Indiana",54892
"Floyd County, Indiana",74264
"Fountain County, Indiana",63973
"Franklin County, Indiana",74779
"Fulton County, Indiana",62412
"Gibson County, Indiana",66247
"Grant County, Indiana",51053
"Greene County, Indiana",61663
"Hamilton County, Indiana",117068
"Hancock County, Indiana",87845
"Harrison County, Indiana",72259
"Hendricks County, Indiana",94760
"Henry County, Indiana",54714
"Howard County, Indiana",56960
"Huntington County, Indiana",59491
"Jackson County, Indiana",66082
"Jasper County, Indiana",75738
"Jay County, Indiana",57690
"Jefferson County, Indiana",64214
"Jennings County, Indiana",63597
"Johnson County, Indiana",83036
"Knox County, Indiana",58238
"Kosciusko County, Indiana",71611
"Lagrange County, Indiana",81010
"Lake County, Indiana",66169
"La Porte County, Indiana",66336
"Lawrence County, Indiana",60141
"Madison County, Indiana",58926
"Marion County, Indiana",62776
"Marshall County, Indiana",70938
"Martin County, Indiana",64216
"Miami County, Indiana",60835
"Monroe County, Indiana",64299
"Montgomery County, Indiana",66283
"Morgan County, Indiana",75542
"Newton County, Indiana",66837
"Noble County, Indiana",69567
"Ohio County, Indiana",70618
"Orange County, Indiana",54128
"Owen County, Indiana",62460
"Parke County, Indiana",64700
