County,Median Household Income
"Sierra County, New Mexico",40420
"Socorro County, New Mexico",42280
"Taos County, New Mexico",48462
"Torrance County, New Mexico",48322
"Union County, New Mexico",48545
"Valencia County, New Mexico",53275
"Albany County, New York",76997
"Allegany County, New York",55466
"Bronx County, New York",45864
"Broome County, New York",60533
"Cattaraugus County, New York",52383
"Cayuga County, New York",64129
"Chautauqua County, New York",55644
"Chemung County, New York",56664
"Chenango County, New York",60755
"Clinton County, New York",65272
"Columbia County, New York",83533
"Cortland County, New York",58274
"Delaware County, New York",61424
"Dutchess County, New York",90740
"Erie County, New York",69888
"Essex County, New York",62376
"Franklin County, New York",59192
"Fulton County, New York",61512
"Genesee County, New York",68973
"Greene County, New York",71433
"Hamilton County, New York",62149
"Herkimer County, New York",62197
"Jefferson County, New York",58763
"Kings County, New York",73244
"Lewis County, New York",64452
"Livingston County, New York",75077
"Madison County, New York",69851
"Monroe County, New York",68169
"Montgomery County, New York",58176
"Nassau County, New York",135528
"New York County, New York",95514
"Niagara County, New York",63565
"Oneida County, New York",63894
"Onondaga County, New York",70939
"Ontario County, New York",76601
"Orange County, New York",88532
"Orleans County, New York",62900
"Oswego County, New York",59335
"Otsego County, New York",68962
"Putnam County, New York",112167
"Queens County, New York",80180
"Rensselaer County, New York",80040
"Richmond County, New York",91582
"Rockland County, New York",99839
"St. Lawrence County, New York",59451
"Saratoga County, New York",93341
"Schenectady County, New York",74206
"Schoharie County, New York",67975
"Schuyler County, New York",63233
"Seneca County, New York",65354
"Steuben County, New York",60558
"Suffolk County, New York",119253
"Sullivan County, New York",63733
"Tioga County, New York",76197
"Tompkins County, New York",72025
"Ulster County, New York",79340
"Warren County, New York",69849
"Washington County, New York",67013
"Wayne County, New York",70917
"Westchester County, New York",108037
"Wyoming County, New York",65526
"Yates County, New York",62637
"Alamance County, North Carolina",61034
"Alexander County, North Carolina",67717
"Alleghany County, North Carolina",49524
"Anson County, North Carolina",48284
"Ashe County, North Carolina",54379
"Avery County, North Carolina",53894
"Beaufort County, North Carolina",54415
"Bertie County, North Carolina",44434
"Bladen County, North Carolina",46002
"Brunswick County, North Carolina",73536
"Buncombe County, North Carolina",67906
"Burke County, North Carolina",60629
"Cabarrus County, North Carolina",79649
"Caldwell County, North Carolina",53586
"Camden County, North Carolina",82620
"Carteret County, North Carolina",67806
"Caswell County, North Carolina",54215
"Catawba County, North Carolina",63934
"Chatham County, North Carolina",84516
"Cherokee County, North Carolina",51607
"Chowan County, North Carolina",55818
"Clay County, North Carolina",57698
"Cleveland County, North Carolina",53170
"Columbus County, North Carolina",45379
"Craven County, North Carolina",63076
"Cumberland County, North Carolina",58013
"Currituck County, North Carolina",76217
"Dare County, North Carolina",82052
"Davidson County, North Carolina",63590
"Davie County, North Carolina",63436
"Duplin County, North Carolina",51270
"Durham County, North Carolina",79524
"Edgecombe County, North Carolina",48770
"Forsyth County, North Carolina",62992
"Franklin County, North Carolina",72415
"Gaston County, North Carolina",65430
"Gates County, North Carolina",66561
"Graham County, North Carolina",50301
"Granville County, North Carolina",74120
"Greene County, North Carolina",49992
"Guilford County, North Carolina",63822
"Halifax County, North Carolina",44804
"Harnett County, North Carolina",65242
"Haywood County, North Carolina",62374
"Henderson County, North Carolina",65252
"Hertford County, North Carolina",43871
"Hoke County, North Carolina",60903
"Hyde County, North Carolina",48068
"Iredell County, North Carolina",73446
"Jackson County, North Carolina",58491
"Johnston County, North Carolina",80612
"Jones County, North Carolina",56079
"Lee County, North Carolina",58244
"Lenoir County, North Carolina",46410
"Lincoln County, North Carolina",78615
"McDowell County, North Carolina",54042
"Macon County, North Carolina",53832
"Madison County, North Carolina",54137
"Martin County, North Carolina",44445
"Mecklenburg County, North Carolina",80645
"Mitchell County, North Carolina",53555
"Montgomery County, North Carolina",55313
"Moore County, North Carolina",84458
"Nash County, North Carolina",55406
"New Hanover County, North Carolina",70995
"Northampton County, North Carolina",51550
"Onslow County, North Carolina",62190
"Orange County, North Carolina",87780
"Pamlico County, North Carolina",59845
"Pasquotank County, North Carolina",59066
"Pender County, North Carolina",73663
"Perquimans County, North Carolina",60665
"Person County, North Carolina",61302
"Pitt County, North Carolina",57319
"Polk County, North Carolina",61585
"Randolph County, North Carolina",58037
"Richmond County, North Carolina",44383
"Robeson County, North Carolina",39931
"Rockingham County, North Carolina",52494
"Rowan County, North Carolina",61105
"Rutherford County, North Carolina",53485
"Sampson County, North Carolina",52248
"Scotland County, North Carolina",45996
"Stanly County, North Carolina",58642
"Stokes County, North Carolina",56259
"Surry County, North Carolina",49524
"Swain County, North Carolina",55462
"Transylvania County, North Carolina",62173
"Tyrrell County, North Carolina",42514
"Union County, North Carolina",95079
"Vance County, North Carolina",49961
"Wake County, North Carolina",97099
"Warren County, North Carolina",47170
"Washington County, North Carolina",46072
"Watauga County, North Carolina",57888
"Wayne County, North Carolina",55635
"Wilkes County, North Carolina",48229
"Wilson County, North Carolina",51535
"Yadkin County, North Carolina",61464
"Yancey County, North Carolina",54455
"Adams County, North Dakota",57593
"Barnes County, North Dakota",67058
"Benson County, North Dakota",56605
"Billings County, North Dakota",85947
"Bottineau County, North Dakota",69351
"Bowman County, North Dakota",75386
"Burke County, North Dakota",75931
"Burleigh County, North Dakota",83111
"Cass County, North Dakota",70002
"Cavalier County, North Dakota",73221
"Dickey County, North Dakota",56326
"Divide County, North Dakota",70513
"Dunn County, North Dakota",82490
"Eddy County, North Dakota",58848
"Emmons County, North Dakota",60952
"Foster County, North Dakota",83156
"Golden Valley County, North Dakota",64823
"Grand Forks County, North Dakota",64914
"Grant County, North Dakota",43988
"Griggs County, North Dakota",59332
"Hettinger County, North Dakota",66192
"Kidder County, North Dakota",56951
"LaMoure County, North Dakota",77744
"Logan County, North Dakota",60695
"McHenry County, North Dakota",65378
"McIntosh County, North Dakota",57614
"McKenzie County, North Dakota",84206
"McLean County, North Dakota",79935
"Mercer County, North Dakota",90092
"Morton County, North Dakota",75133
"Mountrail County, North Dakota",74094
"Nelson County, North Dakota",59947
"Oliver County, North Dakota",79521
"Pembina County, North Dakota",69141
"Pierce County, North Dakota",59007
"Ramsey County, North Dakota",71307
"Ransom County, North Dakota",76130
"Renville County, North Dakota",71271
"Richland County, North Dakota",74253
"Rolette County, North Dakota",50598
"Sargent County, North Dakota",75325
"Sheridan County, North Dakota",56922
"Sioux County, North Dakota",43721
"Slope County, North Dakota",69249
"Stark County, North Dakota",86963
"Steele County, North Dakota",81081
"Stutsman County, North Dakota",65633
"Towner County, North Dakota",70656
"Traill County, North Dakota",79065
"Walsh County, North Dakota",67249
"Ward County, North Dakota",72091
"Wells County, North Dakota",66294
"Williams County, North Dakota",84145
"Adams County, Ohio",49068
"Allen County, Ohio",60384
"Ashland County, Ohio",62037
"Ashtabula County, Ohio",52468
"Athens County, Ohio",48265
"Auglaize County, Ohio",71669
"Belmont County, Ohio",55573
"Brown County, Ohio",64034
"Butler County, Ohio",74841
"Carroll County, Ohio",62482
"Champaign County, Ohio",72784
"Clark County, Ohio",57264
"Clermont County, Ohio",79492
"Clinton County, Ohio",65927
"Columbiana County, Ohio",54167
"Coshocton County, Ohio",50731
"Crawford County, Ohio",55912
"Cuyahoga County, Ohio",60808
"Darke County, Ohio",65643
"Defiance County, Ohio",63904
"Delaware County, Ohio",121528
"Erie County, Ohio",67925
"Fairfield County, Ohio",82447
"Fayette County, Ohio",56901
"Franklin County, Ohio",69762
"Fulton County, Ohio",75383
"Gallia County, Ohio",51449
"Geauga County, Ohio",101636
"Greene County, Ohio",82769
"Guernsey County, Ohio",56004
"Hamilton County, Ohio",67033
"Hancock County, Ohio",72658
"Hardin County, Ohio",58844
"Harrison County, Ohio",55129
"Henry County, Ohio",72122
"Highland County, Ohio",59464
"Hocking County, Ohio",57353
"Holmes County, Ohio",75226
"Huron County, Ohio",61482
"Jackson County, Ohio",54893
"Jefferson County, Ohio",54272
"Knox County, Ohio",68334
"Lake County, Ohio",76163
"Lawrence County, Ohio",51062
"Licking County, Ohio",76596
"Logan County, Ohio",62449
"Lorain County, Ohio",67124
"Lucas County, Ohio",57971
"Madison County, Ohio",78533
"Mahoning County, Ohio",54774
"Marion County, Ohio",59012
"Medina County, Ohio",89108
"Meigs County, Ohio",46393
"Mercer County, Ohio",72077
"Miami County, Ohio",72887
"Monroe County, Ohio",56384
"Montgomery County, Ohio",62794
"Morgan County, Ohio",58803
"Morrow County, Ohio",71835
"Muskingum County, Ohio",58791
"Noble County, Ohio",57054
"Ottawa County, Ohio",72780
"Paulding County, Ohio",66332
"Perry County, Ohio",60448
"Pickaway County, Ohio",75916
"Pike County, Ohio",55029
"Portage County, Ohio",72965
"Preble County, Ohio",67605
"Putnam County, Ohio",81780
"Richland County, Ohio",54906
"Ross County, Ohio",60352
"Sandusky County, Ohio",62473
"Scioto County, Ohio",48465
"Seneca County, Ohio",63221
"Shelby County, Ohio",72498
"Stark County, Ohio",64557
"Summit County, Ohio",66034
"Trumbull County, Ohio",54406
"Tuscarawas County, Ohio",59626
"Union County, Ohio",104512
"Van Wert County, Ohio",59377
"Vinton County, Ohio",51015
"Warren County, Ohio",104523
"Washington County, Ohio",59196
"Wayne County, Ohio",70121
"Williams County, Ohio",60983
"Wood County, Ohio",67254
"Wyandot County, Ohio",65631
"Adair County, Oklahoma",47799
"Alfalfa County, Oklahoma",58045
"Atoka County, Oklahoma",46160
"Beaver County, Oklahoma",64431
"Beckham County, Oklahoma",53119
"Blaine County, Oklahoma",54616
"Bryan County, Oklahoma",53782
"Caddo County, Oklahoma",51071
"Canadian County, Oklahoma",81761
"Carter County, Oklahoma",56052
"Cherokee County, Oklahoma",49403
"Choctaw County, Oklahoma",41999
"Cimarron County, Oklahoma",50900
"Cleveland County, Oklahoma",70923
"Coal County, Oklahoma",44040
"Comanche County, Oklahoma",55600
"Cotton County, Oklahoma",51036
"Craig County, Oklahoma",48922
"Creek County, Oklahoma",57545
"Custer County, Oklahoma",54056
"Delaware County, Oklahoma",54799
"Dewey County, Oklahoma",55444
"Ellis County, Oklahoma",54087
"Garfield County, Oklahoma",55515
"Garvin County, Oklahoma",49245
"Grady County, Oklahoma",66930
"Grant County, Oklahoma",55657
"Greer County, Oklahoma",40545
"Harmon County, Oklahoma",41170
"Harper County, Oklahoma",65228
"Haskell County, Oklahoma",44536
"Hughes County, Oklahoma",43773
"Jackson County, Oklahoma",53513
"Jefferson County, Oklahoma",44188
"Johnston County, Oklahoma",48452
"Kay County, Oklahoma",53066
"Kingfisher County, Oklahoma",73023
"Kiowa County, Oklahoma",44959
"Latimer County, Oklahoma",42409
"Le Flore County, Oklahoma",47026
"Lincoln County, Oklahoma",54922
"Logan County, Oklahoma",76331
"Love County, Oklahoma",64723
"McClain County, Oklahoma",75474
"McCurtain County, Oklahoma",44465
"McIntosh County, Oklahoma",43700
"Major County, Oklahoma",63840
"Marshall County, Oklahoma",51341
"Mayes County, Oklahoma",50174
"Murray County, Oklahoma",60307
"Muskogee County, Oklahoma",53035
"Noble County, Oklahoma",61415
"Nowata County, Oklahoma",54339
"Okfuskee County, Oklahoma",43544
"Oklahoma County, Oklahoma",61580
"Okmulgee County, Oklahoma",45754
"Osage County, Oklahoma",58677
"Ottawa County, Oklahoma",47855
"Pawnee County, Oklahoma",54690
"Payne County, Oklahoma",51236
"Pittsburg County, Oklahoma",47930
"Pontotoc County, Oklahoma",56077
"Pottawatomie County, Oklahoma",52695
"Pushmataha County, Oklahoma",39267
"Roger Mills County, Oklahoma",55183
"Rogers County, Oklahoma",72952
"Seminole County, Oklahoma",44114
"Sequoyah County, Oklahoma",47450
"Stephens County, Oklahoma",55309
"Texas County, Oklahoma",60719
"Tillman County, Oklahoma",44333
"Tulsa County, Oklahoma",63442
"Wagoner County, Oklahoma",73851
"Washington County, Oklahoma",61704
"Washita County, Oklahoma",54789
"Woods County, Oklahoma",54020
"Woodward County, Oklahoma",61248
"Baker County, Oregon",54382
"Benton County, Oregon",70117
"Clackamas County, Oregon",96915
"Clatsop County, Oregon",63667
"Columbia County, Oregon",77572
"Coos County, Oregon",55983
"Crook County, Oregon",69563
"Curry County, Oregon",54595
"Deschutes County, Oregon",84281
"Douglas County, Oregon",55837
"Gilliam County, Oregon",69038
"Grant County, Oregon",58348
"Harney County, Oregon",56001
"Hood River County, Oregon",75818
"Jackson County, Oregon",68239
"Jefferson County, Oregon",65600
"Josephine County, Oregon",54983
"Klamath County, Oregon",54961
"Lake County, Oregon",54707
"Lane County, Oregon",64192
"Lincoln County, Oregon",57216
"Linn County, Oregon",67265
"Malheur County, Oregon",49380
"Marion County, Oregon",70861
"Morrow County, Oregon",67524
"Multnomah County, Oregon",79432
"Polk County, Oregon",77156
"Sherman County, Oregon",71460
"Tillamook County, Oregon",64877
"Umatilla County, Oregon",71012
"Union County, Oregon",57091
"Wallowa County, Oregon",61648
"Wasco County, Oregon",60506
"Washington County, Oregon",98706
"Wheeler County, Oregon",49716
"Yamhill County, Oregon",77969
"Adams County, Pennsylvania",76554
"Allegheny County, Pennsylvania",71973
"Armstrong County, Pennsylvania",57609
"Beaver County, Pennsylvania",67135
"Bedford County, Pennsylvania",55517
"Berks County, Pennsylvania",72157
"Blair County, Pennsylvania",57884
"Bradford County, Pennsylvania",63529
"Bucks County, Pennsylvania",105202
"Butler County, Pennsylvania",81507
"Cambria County, Pennsylvania",54612
"Cameron County, Pennsylvania",50338
"Carbon County, Pennsylvania",64766
"Centre County, Pennsylvania",67654
"Chester County, Pennsylvania",117326
"Clarion County, Pennsylvania",57844
"Clearfield County, Pennsylvania",59318
"Clinton County, Pennsylvania",58892
"Columbia County, Pennsylvania",59127
"Crawford County, Pennsylvania",54774
"Cumberland County, Pennsylvania",81295
"Dauphin County, Pennsylvania",67813
"Delaware County, Pennsylvania",83856
"Elk County, Pennsylvania",57570
"Erie County, Pennsylvania",56489
"Fayette County, Pennsylvania",51494
"Forest County, Pennsylvania",43362
"Franklin County, Pennsylvania",73709
"Fulton County, Pennsylvania",64405
"Greene County, Pennsylvania",63082
"Huntingdon County, Pennsylvania",58170
"Indiana County, Pennsylvania",53040
"Jefferson County, Pennsylvania",54248
"Juniata County, Pennsylvania",62661
"Lackawanna County, Pennsylvania",61168
"Lancaster County, Pennsylvania",82434
"Lawrence County, Pennsylvania",58730
"Lebanon County, Pennsylvania",69490
"Lehigh County, Pennsylvania",72590
"Luzerne County, Pennsylvania",59358
"Lycoming County, Pennsylvania",61729
"Mc Kean County, Pennsylvania",58112
"Mercer County, Pennsylvania",57702
"Mifflin County, Pennsylvania",57096
"Monroe County, Pennsylvania",79824
"Montgomery County, Pennsylvania",106743
"Montour County, Pennsylvania",76229
"Northampton County, Pennsylvania",75468
"Northumberland County, Pennsylvania",57822
"Perry County, Pennsylvania",67834
"Philadelphia County, Pennsylvania",56385
"Pike County, Pennsylvania",81886
"Potter County, Pennsylvania",53935
"Schuylkill County, Pennsylvania",63680
"Snyder County, Pennsylvania",62382
"Somerset County, Pennsylvania",50516
"Sullivan County, Pennsylvania",59957
"Susquehanna County, Pennsylvania",63413
"Tioga County, Pennsylvania",61190
"Union County, Pennsylvania",65521
"Venango County, Pennsylvania",52449
"Warren County, Pennsylvania",56707
"Washington County, Pennsylvania",70751
"Wayne County, Pennsylvania",56973
"Westmoreland County, Pennsylvania",71152
"Wyoming County, Pennsylvania",67643
"York County, Pennsylvania",79938
"Bristol County, Rhode Island",101158
"Kent County, Rhode Island",84230
"Newport County, Rhode Island",92795
"Providence County, Rhode Island",74190
"Washington County, Rhode Island",99015
"Abbeville County, South Carolina",50325
"Aiken County, South Carolina",67728
"Allendale County, South Carolina",35249
"Anderson County, South Carolina",62708
"Bamberg County, South Carolina",37952
"Barnwell County, South Carolina",45080
"Beaufort County, South Carolina",83687
"Berkeley County, South Carolina",79259
"Calhoun County, South Carolina",55642
"Charleston County, South Carolina",79969
"Cherokee County, South Carolina",50403
"Chester County, South Carolina",53488
"Chesterfield County, South Carolina",44574
"Clarendon County, South Carolina",46202
"Colleton County, South Carolina",47933
"Darlington County, South Carolina",50427
"Dillon County, South Carolina",37752
"Dorchester County, South Carolina",74730
"Edgefield County, South Carolina",61318
"Fairfield County, South Carolina",50743
"Florence County, South Carolina",52650
"Georgetown County, South Carolina",59457
"Greenville County, South Carolina",71833
"Greenwood County, South Carolina",49867
"Hampton County, South Carolina",43987
"Horry County, South Carolina",61375
"Jasper County, South Carolina",61838
"Kershaw County, South Carolina",61015
"Lancaster County, South Carolina",70113
"Laurens County, South Carolina",53847
"Lee County, South Carolina",41583
"Lexington County, South Carolina",73022
"McCormick County, South Carolina",56636
"Marion County, South Carolina",37244
"Marlboro County, South Carolina",39160
"Newberry County, South Carolina",55050
"Oconee County, South Carolina",61716
"Orangeburg County, South Carolina",42209
"Pickens County, South Carolina",55333
"Richland County, South Carolina",61010
"Saluda County, South Carolina",57291
"Spartanburg County, South Carolina",58535
"Sumter County, South Carolina",56937
"Union County, South Carolina",46461
"Williamsburg County, South Carolina",39757
"York County, South Carolina",83692
"Aurora County, South Dakota",61013
"Beadle County, South Dakota",59508
"Bennett County, South Dakota",49152
"Bon Homme County, South Dakota",62963
"Brookings County, South Dakota",71166
"Brown County, South Dakota",71731
"Brule County, South Dakota",60133
"Buffalo County, South Dakota",30659
"Butte County, South Dakota",64528
"Campbell County, South Dakota",65591
"Charles Mix County, South Dakota",54367
"Clark County, South Dakota",62559
"Clay County, South Dakota",55263
"Codington County, South Dakota",65009
"Corson County, South Dakota",39329
"Custer County, South Dakota",75336
"Davison County, South Dakota",63753
"Day County, South Dakota",62786
"Deuel County, South Dakota",77694
"Dewey County, South Dakota",50048
"Douglas County, South Dakota",73934
"Edmunds County, South Dakota",72004
"Fall River County, South Dakota",56976
"Faulk County, South Dakota",60853
"Grant County, South Dakota",70409
"Gregory County, South Dakota",49239
"Haakon County, South Dakota",58799
"Hamlin County, South Dakota",73995
"Hand County, South Dakota",64536
"Hanson County, South Dakota",79488
"Harding County, South Dakota",65168
"Hughes County, South Dakota",79301
"Hutchinson County, South Dakota",64422
"Hyde County, South Dakota",64416
"Jackson County, South Dakota",45190
"Jerauld County, South Dakota",57560
"Jones County, South Dakota",60864
"Kingsbury County, South Dakota",64215
"Lake County, South Dakota",74668
"Lawrence County, South Dakota",67606
"Lincoln County, South Dakota",98387
"Lyman County, South Dakota",54199
"McCook County, South Dakota",70320
"McPherson County, South Dakota",52850
"Marshall County, South Dakota",65643
"Meade County, South Dakota",71106
"Mellette County, South Dakota",44702
"Miner County, South Dakota",64099
"Minnehaha County, South Dakota",75623
"Moody County, South Dakota",70603
"Oglala Lakota County, South Dakota",40683
"Pennington County, South Dakota",67573
"Perkins County, South Dakota",57148
"Potter County, South Dakota",72374
"Roberts County, South Dakota",57788
"Sanborn County, South Dakota",63266
"Spink County, South Dakota",61513
"Stanley County, South Dakota",81788
"Sully County, South Dakota",76192
"Todd County, South Dakota",41862
"Tripp County, South Dakota",55946
"Turner County, South Dakota",74511
"Union County, South Dakota",85677
"Walworth County, South Dakota",57100
"Yankton County, South Dakota",62951
"Ziebach County, South Dakota",40004
"Anderson County, Tennessee",64615
"Bedford County, Tennessee",70185
"Benton County, Tennessee",50635
"Bledsoe County, Tennessee",46207
"Blount County, Tennessee",69713
"Bradley County, Tennessee",62666
"Campbell County, Tennessee",44268
"Cannon County, Tennessee",63155
"Carroll County, Tennessee",52680
"Carter County, Tennessee",48912
"Cheatham County, Tennessee",78437
"Chester County, Tennessee",57732
"Claiborne County, Tennessee",41087
"Clay County, Tennessee",43441
"Cocke County, Tennessee",45361
"Coffee County, Tennessee",56519
"Crockett County, Tennessee",53598
"Cumberland County, Tennessee",53388
"Davidson County, Tennessee",72561
"Decatur County, Tennessee",52294
"DeKalb County, Tennessee",55392
"Dickson County, Tennessee",70192
"Dyer County, Tennessee",53715
"Fayette County, Tennessee",84328
"Fentress County, Tennessee",41147
"Franklin County, Tennessee",61417
"Gibson County, Tennessee",55608
"Giles County, Tennessee",54684
"Grainger County, Tennessee",51951
"Greene County, Tennessee",50410
"Grundy County, Tennessee",44219
"Hamblen County, Tennessee",56734
"Hamilton County, Tennessee",75127
"Hancock County, Tennessee",38024
"Hardeman County, Tennessee",44454
"Hardin County, Tennessee",42573
"Hawkins County, Tennessee",52819
"Haywood County, Tennessee",46351
"Henderson County, Tennessee",53822
"Henry County, Tennessee",51194
"Hickman County, Tennessee",56917
"Houston County, Tennessee",60581
"Humphreys County, Tennessee",58917
"Jackson County, Tennessee",43306
"Jefferson County, Tennessee",60785
"Johnson County, Tennessee",45495
"Knox County, Tennessee",70013
"Lake County, Tennessee",38088
"Lauderdale County, Tennessee",47575
"Lawrence County, Tennessee",55562
"Lewis County, Tennessee",53189
"Lincoln County, Tennessee",61591
"Loudon County, Tennessee",79683
"McMinn County, Tennessee",60950
"McNairy County, Tennessee",49706
"Macon County, Tennessee",56817
"Madison County, Tennessee",57070
"Marion County, Tennessee",58686
"Marshall County, Tennessee",64013
"Maury County, Tennessee",70225
"Meigs County, Tennessee",54257
"Monroe County, Tennessee",56047
"Montgomery County, Tennessee",67478
"Moore County, Tennessee",68086
"Morgan County, Tennessee",59967
"Obion County, Tennessee",50159
"Overton County, Tennessee",52108
"Perry County, Tennessee",46448
"Pickett County, Tennessee",47932
"Polk County, Tennessee",55146
"Putnam County, Tennessee",54996
"Rhea County, Tennessee",59207
"Roane County, Tennessee",63430
"Robertson County, Tennessee",77326
"Rutherford County, Tennessee",77320
"Scott County, Tennessee",44599
"Sequatchie County, Tennessee",56264
"Sevier County, Tennessee",59530
"Shelby County, Tennessee",61452
"Smith County, Tennessee",63960
"Stewart County, Tennessee",60242
"Sullivan County, Tennessee",54361
"Sumner County, Tennessee",87453
"Tipton County, Tennessee",68778
"Trousdale County, Tennessee",58584
"Unicoi County, Tennessee",52260
"Union County, Tennessee",51169
"Van Buren County, Tennessee",50260
"Warren County, Tennessee",52520
"Washington County, Tennessee",64270
"Wayne County, Tennessee",48321
"Weakley County, Tennessee",49815
"White County, Tennessee",49411
"Williamson County, Tennessee",133486
"Wilson County, Tennessee",88462
"Anderson County, Texas",60800
"Andrews County, Texas",68998
"Angelina County, Texas",56825
"Aransas County, Texas",60523
"Archer County, Texas",72062
"Armstrong County, Texas",67548
"Atascosa County, Texas",59817
"Austin County, Texas",68630
"Bailey County, Texas",52751
"Bandera County, Texas",69284
"Bastrop County, Texas",73403
"Baylor County, Texas",49059
"Bee County, Texas",48176
"Bell County, Texas",62412
"Bexar County, Texas",65839
"Blanco County, Texas",82236
"Borden County, Texas",75186
"Bosque County, Texas",61048
"Bowie County, Texas",52460
"Brazoria County, Texas",86197
"Brazos County, Texas",60355
"Brewster County, Texas",52388
"Briscoe County, Texas",53208
"Brooks County, Texas",35359
"Brown County, Texas",53455
"Burleson County, Texas",62095
"Burnet County, Texas",74897
"Caldwell County, Texas",60833
"Calhoun County, Texas",62742
"Callahan County, Texas",63836
"Cameron County, Texas",49583
"Camp County, Texas",52919
"Carson County, Texas",71902
"Cass County, Texas",54276
"Castro County, Texas",59958
"Chambers County, Texas",102146
"Cherokee County, Texas",50351
"Childress County, Texas",49200
"Clay County, Texas",66085
"Cochran County, Texas",45766
"Coke County, Texas",43774
"Coleman County, Texas",45834
"Collin County, Texas",113943
"Collingsworth County, Texas",52093
"Colorado County, Texas",59711
"Comal County, Texas",92979
"Comanche County, Texas",51559
"Concho County, Texas",51191
"Cooke County, Texas",66466
"Coryell County, Texas",63428
"Cottle County, Texas",45351
"Crane County, Texas",67889
"Crockett County, Texas",71851
"Crosby County, Texas",46457
"Culberson County, Texas",52160
"Dallam County, Texas",61636
"Dallas County, Texas",70871
"Dawson County, Texas",48801
"Deaf Smith County, Texas",55565
"Delta County, Texas",54587
"Denton County, Texas",102711
"DeWitt County, Texas",55525
"Dickens County, Texas",47074
"Dimmit County, Texas",44312
"Donley County, Texas",44866
"Duval County, Texas",40539
"Eastland County, Texas",53351
"Ector County, Texas",64868
"Edwards County, Texas",50752
"Ellis County, Texas",89314
"El Paso County, Texas",53441
"Erath County, Texas",60093
"Falls County, Texas",47534
"Fannin County, Texas",60959
"Fayette County, Texas",70476
"Fisher County, Texas",57867
"Floyd County, Texas",45784
"Foard County, Texas",47657
"Fort Bend County, Texas",105583
"Franklin County, Texas",56623
"Freestone County, Texas",56372
"Frio County, Texas",46769
"Gaines County, Texas",62465
"Galveston County, Texas",75947
"Garza County, Texas",50255
"Gillespie County, Texas",77013
"Glasscock County, Texas",96533
"Goliad County, Texas",62841
"Gonzales County, Texas",57523
"Gray County, Texas",50648
"Grayson County, Texas",66141
"Gregg County, Texas",60932
"Grimes County, Texas",61188
"Guadalupe County, Texas",86043
"Hale County, Texas",49571
"Hall County, Texas",40677
"Hamilton County, Texas",59753
"Hansford County, Texas",69064
"Hardeman County, Texas",49539
"Hardin County, Texas",70432
"Harris County, Texas",68748
"Harrison County, Texas",64636
"Hartley County, Texas",84165
"Haskell County, Texas",48587
"Hays County, Texas",89074
"Hemphill County, Texas",73212
"Henderson County, Texas",62843
"Hidalgo County, Texas",48825
"Hill County, Texas",57566
"Hockley County, Texas",56923
"Hood County, Texas",75545
"Hopkins County, Texas",64249
"Houston County, Texas",49741
"Howard County, Texas",59598
"Hudspeth County, Texas",39582
"Hunt County, Texas",68019
"Hutchinson County, Texas",65019
"Irion County, Texas",77768
"Jack County, Texas",54132
"Jackson County, Texas",61953
"Jasper County, Texas",50763
"Jeff Davis County, Texas",58285
"Jefferson County, Texas",55065
"Jim Hogg County, Texas",43782
"Jim Wells County, Texas",48252
"Johnson County, Texas",76747
"Jones County, Texas",51894
"Karnes County, Texas",61860
"Kaufman County, Texas",92814
"Kendall County, Texas",120238
"Kenedy County, Texas",43274
"Kent County, Texas",58118
"Kerr County, Texas",59619
"Kimble County, Texas",51851
"King County, Texas",87856
"Kinney County, Texas",52609
"Kleberg County, Texas",51342
"Knox County, Texas",47207
"Lamar County, Texas",62620
"Lamb County, Texas",53008
"Lampasas County, Texas",67917
"La Salle County, Texas",40555
"Lavaca County, Texas",58400
"Lee County, Texas",65911
"Leon County, Texas",56749
"Liberty County, Texas",61880
"Limestone County, Texas",51357
"Lipscomb County, Texas",70236
"Live Oak County, Texas",58576
"Llano County, Texas",59528
"Loving County, Texas",94716
"Lubbock County, Texas",59138
"Lynn County, Texas",56754
"McCulloch County, Texas",45915
"McLennan County, Texas",63160
"McMullen County, Texas",67525
"Madison County, Texas",53906
"Marion County, Texas",47720
"Martin County, Texas",73315
"Mason County, Texas",59129
"Matagorda County, Texas",58380
"Maverick County, Texas",43407
"Medina County, Texas",70313
"Menard County, Texas",44145
"Midland County, Texas",81187
"Milam County, Texas",54667
"Mills County, Texas",58068
"Mitchell County, Texas",48378
"Montague County, Texas",57076
"Montgomery County, Texas",95241
"Moore County, Texas",66583
"Morris County, Texas",49847
"Motley County, Texas",46320
"Nacogdoches County, Texas",51708
"Navarro County, Texas",50822
"Newton County, Texas",47804
"Nolan County, Texas",50579
"Nueces County, Texas",60250
"Ochiltree County, Texas",69383
"Oldham County, Texas",66411
"Orange County, Texas",63901
"Palo Pinto County, Texas",56809
"Panola County, Texas",59772
"Parker County, Texas",95277
"Parmer County, Texas",57786
"Pecos County, Texas",54003
"Polk County, Texas",58894
"Potter County, Texas",51028
"Presidio County, Texas",43666
"Rains County, Texas",45419
"Randall County, Texas",77066
"Reagan County, Texas",83195
"Real County, Texas",49467
"Red River County, Texas",47081
"Reeves County, Texas",53969
"Refugio County, Texas",50936
"Roberts County, Texas",70814
"Robertson County, Texas",57796
"Rockwall County, Texas",124291
"Runnels County, Texas",52729
"Rusk County, Texas",55085
"Sabine County, Texas",50564
"San Augustine County, Texas",49591
"San Jacinto County, Texas",57855
