,County,Median Price % Increase,Median Price Increase,Median Home Price (2023),Median Household Income,Pop Growth % from 2020-2023,Pop Growth from 2020-2023,Latitude,Longitude
81,"Chester County, Pennsylvania",29.6875,95000.0,415000.0,117326.0,2.796028644616058,14954,39.9829308,-75.7652424
102,"Chambers County, Texas",29.560869565217388,67990.0,297990.0,102146.0,14.583466258321096,6857,29.7191125,-94.5412295
91,"Loudoun County, Virginia",28.96206639436133,123518.0,550000.0,167605.0,3.227309826001587,13642,39.0768,-77.6536
130,"Adams County, Idaho",28.205128205128204,55000.0,250000.0,56374.0,10.727190605239386,475,44.8677448,-116.4572399
58,"Frederick County, Maryland",28.19718309859155,100100.0,455100.0,116796.0,7.553540137690334,20605,39.4608481,-77.4118135
157,"Hood County, Texas",27.563781890945478,55100.0,255000.0,75545.0,9.21249818715053,5717,32.4107555,-97.828282
145,"Sanders County, Montana",27.31481481481481,59000.0,275000.0,47976.0,9.84106598169852,1226,47.6109,-115.1317
133,"Bryan County, Georgia",27.1356783919598,54000.0,253000.0,93057.0,10.425593321936816,4696,32.0034889,-81.4241017
112,"McClain County, Oklahoma",27.016574585635354,48900.0,229900.0,75474.0,12.306150689507092,5158,34.9756991,-97.481167
5,"Fort Bend County, Texas",26.582278481012665,63000.0,300000.0,105583.0,10.573881118164195,87669,29.511218,-95.7807348
127,"Waller County, Texas",26.22205902602471,57130.0,275000.0,75223.0,10.941782316487746,6268,29.9443902,-95.9955885
40,"Brazoria County, Texas",25.927686839185853,57260.0,278105.0,86197.0,6.812711349342564,25445,29.18161,-95.4993375
6,"Montgomery County, Texas",25.121076233183842,56020.0,279020.0,95241.0,13.763671634486968,86063,30.301949,-95.5065944
108,"New Kent County, Virginia",24.02307222867492,61015.0,315000.0,115627.0,13.021666738744969,3011,37.4654,-76.9643
153,"Goochland County, Virginia",22.979890310786118,62850.0,336350.0,113617.0,9.422651377992366,2342,37.7416,-77.9739
136,"Burleson County, Texas",21.746039603960398,43927.0,245927.5,62095.0,10.140255627191493,1793,30.4764878,-96.6353488
140,"Grimes County, Texas",19.293478260869563,35500.0,219500.0,61188.0,10.000000000000014,2944,30.5169334,-95.9943034
131,"Dallas County, Iowa",18.518518518518505,50000.0,320000.0,109138.0,10.499721492798614,10556,41.6744179,-94.0394437
154,"Custer County, South Dakota",18.330464716006873,42600.0,275000.0,75336.0,9.382123575284936,782,43.6726477,-103.5101597
116,"Musselshell County, Montana",12.820512820512818,25000.0,220000.0,55291.0,11.747368421052641,558,46.4219,-108.4065
