,County,Overall Score,Rent vs. Mortgage Score,Demand Score,Affordability Score,Poverty Score,Rent vs. Mortgage,Median Price % Increase,Median Price Increase,Median Home Price (2023),Median Household Income,Pop Growth % from 2020-2023,Pop Growth from 2020-2023,Total Housing Units built after 2020,Demand Ratio,Affordability Ratio,Poverty Percent,Latitude,Longitude
87,"Placer County, California",16,4,1,2,9,57.0,35.48387096774192,165000.0,630000.0,106114.0,4.344130841259641,17634,4913,3.5892530022389577,21.598615916955016,6.2,39.1012064,-120.7650606
69,"Denton County, Texas",16,5,1,1,9,124.0,34.29489830444754,91221.0,357211.0,102711.0,10.203981198559049,93305,20351,4.584786988354381,5.046975578595647,7.8,33.1838787,-97.1413417
40,"Pasco County, Florida",16,6,2,1,7,241.0,48.571428571428584,102000.0,312000.0,65933.0,11.805933346992688,66840,13919,4.8020691141605,4.736906386953086,10.9,28.2996183,-82.4522702
103,"Jackson County, Georgia",16,3,2,2,9,-50.0,44.92089343880875,96535.0,311435.0,82138.0,15.487873219428906,11884,2410,4.931120331950208,34.08215767634855,7.3,34.1282559,-83.5753386
100,"Bastrop County, Texas",16,4,2,3,7,-25.0,60.37735849056605,160000.0,425000.0,73403.0,12.973066685703216,12721,1827,6.962780514504653,40.1767925561029,12.3,30.0541116,-97.3887764
62,"Johnson County, Texas",16,5,2,1,8,138.0,41.203703703703695,89000.0,305000.0,76747.0,12.125063548551097,21942,4434,4.948579161028417,17.30875056382499,10.0,32.3766071,-97.3568623
65,"Benton County, Arkansas",16,5,1,1,9,132.0,49.86388888888888,89755.0,269755.5,86374.0,8.511328667424948,24395,6494,3.756544502617801,13.30058515552818,7.9,36.3456186,-94.2670404
60,"Wake County, North Carolina",16,5,1,1,9,146.0,44.473874307729346,120055.0,390000.0,97099.0,5.289066708654616,59792,22153,2.699047533065499,4.3831083826118356,7.5,35.7979355,-78.6118311
22,"Horry County, South Carolina",16,7,1,1,7,340.0,48.11904761904762,90945.0,279945.0,61375.0,12.356507851257192,43713,9469,4.6164325694371104,6.481677051430985,12.5,33.9204504,-78.9578973
41,"Washington County, Utah",16,6,1,1,8,237.0,56.299840510366835,176500.0,490000.0,75572.0,11.228195478394639,20437,6387,3.199780804759668,11.83215907311727,9.7,37.2393471,-113.525776
38,"Manatee County, Florida",16,6,1,1,8,246.0,40.46121593291406,96500.0,335000.0,72176.0,9.829216247239287,39476,11101,3.55607602918656,6.501756598504639,10.1,27.5213933,-82.3801566
36,"Montgomery County, Tennessee",16,7,1,1,7,260.0,57.73809523809524,97000.0,265000.0,67478.0,8.401534700222797,18591,5729,3.2450689474602896,11.778320823878513,11.2,36.4803824,-87.3786221
45,"Kaufman County, Texas",16,6,1,1,8,212.0,34.53977357156916,86003.0,335000.0,92814.0,26.199537855103983,38550,9303,4.1438245727184775,9.976781683327959,8.6,32.601641,-96.3375126
48,"Greenville County, South Carolina",16,6,1,1,8,197.0,38.351282051282055,74785.0,269785.0,71833.0,5.839176556048471,30787,10066,3.058513808861514,7.136201072918737,10.1,34.8550021,-82.3356457
49,"Rutherford County, Tennessee",16,6,1,1,8,182.0,45.05579068872643,117100.0,377000.0,77320.0,6.933626179004833,23803,9451,2.5185694635488307,8.181144852396573,9.4,35.8563421,-86.4205249
19,"Duval County, Florida",16,8,1,1,6,373.0,37.93103448275863,77000.0,280000.0,70203.0,3.311137480657152,33038,12956,2.5500154368632293,5.4185705464649585,13.9,30.3540073,-81.6632109
50,"Travis County, Texas",16,6,1,1,8,182.0,66.12903225806451,205000.0,515000.0,95151.0,2.9575517135799174,38348,25882,1.4816474770110502,3.6763387682559308,10.1,30.2878569,-97.7561392
90,"Wilson County, Tennessee",16,4,1,2,9,47.0,41.09756097560975,117950.0,404950.0,88462.0,10.100296652069503,15015,4224,3.5546875,20.942708333333332,7.2,36.1466658,-86.3119998
31,"Bay County, Florida",16,7,1,1,7,314.0,33.49514563106797,69000.0,275000.0,65521.0,9.30754906173901,16244,4132,3.931268151016457,15.856969990319458,11.9,30.2481693,-85.6593633
107,"Parker County, Texas",16,3,2,2,9,-78.0,41.509433962264154,110000.0,375000.0,95277.0,16.00914731999572,23942,3584,6.680245535714286,26.583984375,7.8,32.77725975,-97.80455986920202
56,"Santa Rosa County, Florida",16,6,1,1,8,168.0,47.25,94500.0,294500.0,82537.0,7.486865843786859,14151,4705,3.0076514346439955,17.54240170031881,9.4,30.6964502,-87.0097524
89,"Walton County, Florida",16,4,2,3,7,48.0,35.04993576727031,84579.0,325889.5,78814.0,13.711960600992867,10413,2221,4.688428635749663,35.4858171994597,11.1,30.6204939,-86.1912678
81,"Sussex County, Delaware",15,5,1,1,8,77.0,36.363636363636346,80000.0,300000.0,81188.0,10.426226485464895,24880,9405,2.6454013822434876,8.632429558745349,9.5,38.6908097,-75.3691421
85,"Comal County, Texas",15,4,1,1,9,65.0,34.92063492063494,88000.0,340000.0,92979.0,18.495163724573644,30269,6648,4.553098676293622,13.98601083032491,7.1,29.7979704,-98.2690787
94,"Franklin County, North Carolina",15,4,1,3,7,27.0,43.548387096774206,108000.0,356000.0,72415.0,11.331039268983872,7837,1859,4.215707369553523,38.95373856912318,10.9,36.1028596,-78.2787229
78,"York County, South Carolina",15,5,1,1,8,104.0,48.61751152073731,105500.0,322500.0,83692.0,5.031898263551483,14292,5207,2.744766660265028,16.072978682542733,8.3,34.9603293,-81.1655408
