County,Costs with Mortgage,Cost without Mortgage,Average Mortgage Cost,Average Rent Cost,Rent vs. Mortgage
"Delaware County, Indiana",1094,436,658,854,196
"Elkhart County, Indiana",1197,452,745,967,222
"Floyd County, Indiana",1373,507,866,987,121
"Grant County, Indiana",1023,434,589,771,182
"Hamilton County, Indiana",1957,662,1295,1444,149
"Hancock County, Indiana",1458,532,926,1190,264
"Hendricks County, Indiana",1571,566,1005,1317,312
"Howard County, Indiana",1047,404,643,856,213
"Johnson County, Indiana",1376,565,811,1218,407
"Kosciusko County, Indiana",1187,428,759,957,198
"Lake County, Indiana",1412,537,875,1039,164
"LaPorte County, Indiana",1158,473,685,877,192
"Madison County, Indiana",1129,423,706,823,117
"Marion County, Indiana",1326,513,813,1041,228
"Monroe County, Indiana",1417,531,886,1096,210
"Morgan County, Indiana",1380,490,890,962,72
"Porter County, Indiana",1465,554,911,1093,182
"St. Joseph County, Indiana",1233,445,788,979,191
"Tippecanoe County, Indiana",1180,500,680,1051,371
"Vanderburgh County, Indiana",1165,554,611,909,298
"Vigo County, Indiana",1123,394,729,877,148
"Warrick County, Indiana",1442,571,871,897,26
"Wayne County, Indiana",1062,390,672,708,36
"Black Hawk County, Iowa",1284,571,713,941,228
"Dallas County, Iowa",2047,812,1235,1321,86
"Dubuque County, Iowa",1487,587,900,914,14
"Johnson County, Iowa",1725,696,1029,1051,22
"Linn County, Iowa",1448,645,803,826,23
"Polk County, Iowa",1613,680,933,1045,112
"Pottawattamie County, Iowa",1453,579,874,926,52
"Scott County, Iowa",1427,590,837,914,77
"Story County, Iowa",1633,687,946,886,-60
"Woodbury County, Iowa",1329,509,820,925,105
"Butler County, Kansas",1674,633,1041,1009,-32
"Douglas County, Kansas",1839,692,1147,992,-155
"Johnson County, Kansas",2027,787,1240,1301,61
"Leavenworth County, Kansas",1737,643,1094,1195,101
"Riley County, Kansas",1779,612,1167,956,-211
"Sedgwick County, Kansas",1446,559,887,918,31
"Shawnee County, Kansas",1326,554,772,918,146
"Wyandotte County, Kansas",1457,622,835,1047,212
"Boone County, Kentucky",1579,560,1019,1255,236
"Bullitt County, Kentucky",1441,481,960,940,-20
"Campbell County, Kentucky",1459,584,875,1061,186
"Christian County, Kentucky",1226,396,830,970,140
"Daviess County, Kentucky",1264,477,787,807,20
"Fayette County, Kentucky",1549,560,989,1036,47
"Hardin County, Kentucky",1383,390,993,901,-92
"Jefferson County, Kentucky",1467,576,891,1057,166
"Kenton County, Kentucky",1388,525,863,1030,167
"McCracken County, Kentucky",1135,521,614,749,135
"Madison County, Kentucky",1284,412,872,835,-37
"Oldham County, Kentucky",2065,760,1305,955,-350
"Pulaski County, Kentucky",1111,379,732,785,53
"Warren County, Kentucky",1335,486,849,969,120
"Ascension Parish, Louisiana",1675,412,1263,1188,-75
"Bossier Parish, Louisiana",1442,433,1009,1092,83
"Caddo Parish, Louisiana",1353,411,942,916,-26
"Calcasieu Parish, Louisiana",1510,434,1076,1029,-47
"East Baton Rouge Parish, Louisiana",1545,472,1073,1113,40
"Iberia Parish, Louisiana",1166,368,798,731,-67
"Jefferson Parish, Louisiana",1634,494,1140,1118,-22
"Lafayette Parish, Louisiana",1471,442,1029,979,-50
"Lafourche Parish, Louisiana",1300,369,931,677,-254
"Livingston Parish, Louisiana",1499,367,1132,991,-141
"Orleans Parish, Louisiana",1968,647,1321,1151,-170
"Ouachita Parish, Louisiana",1404,484,920,911,-9
"Rapides Parish, Louisiana",1492,409,1083,916,-167
"St. Landry Parish, Louisiana",1082,332,750,754,4
"St. Tammany Parish, Louisiana",1626,583,1043,1245,202
"Tangipahoa Parish, Louisiana",1244,397,847,885,38
"Terrebonne Parish, Louisiana",1371,386,985,999,14
"Androscoggin County, Maine",1435,599,836,977,141
"Aroostook County, Maine",1069,470,599,717,118
"Cumberland County, Maine",1967,852,1115,1418,303
"Kennebec County, Maine",1407,540,867,946,79
"Penobscot County, Maine",1408,548,860,936,76
"York County, Maine",1800,706,1094,1138,44
