County,Total Housing Units built after 2020
"Lafayette Parish, Louisiana",2913
"Lafourche Parish, Louisiana",866
"Livingston Parish, Louisiana",2327
"Orleans Parish, Louisiana",948
"Ouachita Parish, Louisiana",1501
"Rapides Parish, Louisiana",514
"St. Landry Parish, Louisiana",115
"St. Tammany Parish, Louisiana",4729
"Tangipahoa Parish, Louisiana",827
"Terrebonne Parish, Louisiana",587
"Androscoggin County, Maine",564
"Aroostook County, Maine",239
"Cumberland County, Maine",3261
"Kennebec County, Maine",863
"Penobscot County, Maine",588
"York County, Maine",1950
"Allegany County, Maryland",196
"Anne Arundel County, Maryland",4765
"Baltimore County, Maryland",3381
"Calvert County, Maryland",896
"Carroll County, Maryland",764
"Cecil County, Maryland",492
"Charles County, Maryland",1538
"Frederick County, Maryland",3775
"Harford County, Maryland",1313
"Howard County, Maryland",1926
"Montgomery County, Maryland",4457
"Prince George's County, Maryland",3526
"St. Mary's County, Maryland",1083
"Washington County, Maryland",459
"Wicomico County, Maryland",123
"Baltimore city, Maryland",1604
"Barnstable County, Massachusetts",1309
"Berkshire County, Massachusetts",361
"Bristol County, Massachusetts",1149
"Essex County, Massachusetts",2167
"Franklin County, Massachusetts",119
"Hampden County, Massachusetts",1243
"Hampshire County, Massachusetts",476
"Middlesex County, Massachusetts",6494
"Norfolk County, Massachusetts",2177
"Plymouth County, Massachusetts",2875
"Suffolk County, Massachusetts",5898
"Worcester County, Massachusetts",2808
"Allegan County, Michigan",629
"Bay County, Michigan",226
"Berrien County, Michigan",604
"Calhoun County, Michigan",431
"Clinton County, Michigan",546
"Eaton County, Michigan",237
"Genesee County, Michigan",1384
"Grand Traverse County, Michigan",454
"Ingham County, Michigan",539
"Ionia County, Michigan",467
"Jackson County, Michigan",300
"Kalamazoo County, Michigan",989
"Kent County, Michigan",3327
"Lapeer County, Michigan",375
"Lenawee County, Michigan",302
"Livingston County, Michigan",1166
"Macomb County, Michigan",3819
"Marquette County, Michigan",276
"Midland County, Michigan",478
"Monroe County, Michigan",1242
"Montcalm County, Michigan",671
"Muskegon County, Michigan",595
"Oakland County, Michigan",5175
"Ottawa County, Michigan",2519
"Saginaw County, Michigan",1026
"St. Clair County, Michigan",992
"Shiawassee County, Michigan",0
"Van Buren County, Michigan",398
"Washtenaw County, Michigan",2973
"Wayne County, Michigan",3292
"Anoka County, Minnesota",2810
"Blue Earth County, Minnesota",892
"Carver County, Minnesota",1519
"Clay County, Minnesota",826
"Crow Wing County, Minnesota",503
"Dakota County, Minnesota",2823
"Hennepin County, Minnesota",9324
"Olmsted County, Minnesota",1298
"Ramsey County, Minnesota",2802
"Rice County, Minnesota",443
"St. Louis County, Minnesota",430
"Scott County, Minnesota",1858
"Sherburne County, Minnesota",809
"Stearns County, Minnesota",921
"Washington County, Minnesota",3900
"Wright County, Minnesota",1431
"DeSoto County, Mississippi",2651
"Forrest County, Mississippi",364
"Harrison County, Mississippi",1368
"Hinds County, Mississippi",673
"Jackson County, Mississippi",1660
"Jones County, Mississippi",503
"Lamar County, Mississippi",436
"Lauderdale County, Mississippi",314
"Lee County, Mississippi",878
"Madison County, Mississippi",1385
"Rankin County, Mississippi",812
"Boone County, Missouri",1665
"Buchanan County, Missouri",251
"Cape Girardeau County, Missouri",851
"Cass County, Missouri",1443
"Christian County, Missouri",1425
"Clay County, Missouri",1960
"Cole County, Missouri",423
"Franklin County, Missouri",335
"Greene County, Missouri",1356
"Jackson County, Missouri",4865
"Jasper County, Missouri",1247
"Jefferson County, Missouri",993
"Platte County, Missouri",1389
"St. Charles County, Missouri",3420
"St. Francois County, Missouri",406
"St. Louis County, Missouri",3204
"St. Louis city, Missouri",579
"Cascade County, Montana",340
"Flathead County, Montana",1356
"Gallatin County, Montana",2027
"Lewis and Clark County, Montana",1064
"Missoula County, Montana",1197
"Yellowstone County, Montana",3500
"Douglas County, Nebraska",5101
"Lancaster County, Nebraska",2190
"Sarpy County, Nebraska",2785
"Clark County, Nevada",27720
"Washoe County, Nevada",8832
"Cheshire County, New Hampshire",135
"Grafton County, New Hampshire",1077
"Hillsborough County, New Hampshire",1624
"Merrimack County, New Hampshire",340
"Rockingham County, New Hampshire",2446
"Strafford County, New Hampshire",998
"Atlantic County, New Jersey",1815
"Bergen County, New Jersey",4654
"Burlington County, New Jersey",2866
"Camden County, New Jersey",1552
"Cape May County, New Jersey",1227
"Cumberland County, New Jersey",491
"Essex County, New Jersey",1327
"Gloucester County, New Jersey",1139
"Hudson County, New Jersey",5824
"Hunterdon County, New Jersey",195
"Mercer County, New Jersey",1132
"Middlesex County, New Jersey",2047
"Monmouth County, New Jersey",2747
"Morris County, New Jersey",1351
"Ocean County, New Jersey",3124
"Passaic County, New Jersey",957
"Salem County, New Jersey",289
"Somerset County, New Jersey",855
"Sussex County, New Jersey",272
"Union County, New Jersey",2774
"Warren County, New Jersey",338
"Bernalillo County, New Mexico",2546
"Doña Ana County, New Mexico",2643
"Lea County, New Mexico",1087
"McKinley County, New Mexico",292
"Otero County, New Mexico",477
"Sandoval County, New Mexico",2376
"San Juan County, New Mexico",330
"Santa Fe County, New Mexico",1348
"Valencia County, New Mexico",444
"Albany County, New York",1218
"Bronx County, New York",3316
"Broome County, New York",22
"Cattaraugus County, New York",105
"Cayuga County, New York",292
"Chautauqua County, New York",168
"Chemung County, New York",16
"Clinton County, New York",260
"Dutchess County, New York",682
"Erie County, New York",2674
"Jefferson County, New York",237
"Kings County, New York",12546
"Madison County, New York",59
"Monroe County, New York",2394
"Nassau County, New York",3895
"New York County, New York",2923
"Niagara County, New York",523
"Oneida County, New York",504
"Onondaga County, New York",1014
"Ontario County, New York",407
"Orange County, New York",2398
"Oswego County, New York",705
"Putnam County, New York",55
"Queens County, New York",3996
"Rensselaer County, New York",160
"Richmond County, New York",646
"Rockland County, New York",1577
"St. Lawrence County, New York",324
"Saratoga County, New York",1912
"Schenectady County, New York",529
"Steuben County, New York",408
"Suffolk County, New York",4625
"Sullivan County, New York",152
"Tompkins County, New York",695
"Ulster County, New York",622
"Warren County, New York",537
"Wayne County, New York",289
"Westchester County, New York",3586
"Alamance County, North Carolina",1766
"Brunswick County, North Carolina",7238
"Buncombe County, North Carolina",6715
"Burke County, North Carolina",1309
"Cabarrus County, North Carolina",4739
"Caldwell County, North Carolina",758
"Carteret County, North Carolina",1170
"Catawba County, North Carolina",940
"Chatham County, North Carolina",2291
"Cleveland County, North Carolina",576
"Craven County, North Carolina",1331
"Cumberland County, North Carolina",2086
"Davidson County, North Carolina",1782
"Durham County, North Carolina",4589
"Forsyth County, North Carolina",2829
"Franklin County, North Carolina",1859
"Gaston County, North Carolina",3054
"Guilford County, North Carolina",4003
"Harnett County, North Carolina",1966
"Henderson County, North Carolina",845
"Iredell County, North Carolina",3461
"Johnston County, North Carolina",4582
"Lee County, North Carolina",973
"Lincoln County, North Carolina",1423
"Mecklenburg County, North Carolina",17506
"Moore County, North Carolina",2577
"Nash County, North Carolina",283
"New Hanover County, North Carolina",4451
"Onslow County, North Carolina",2500
"Orange County, North Carolina",915
"Pender County, North Carolina",2628
"Pitt County, North Carolina",1138
"Randolph County, North Carolina",778
"Robeson County, North Carolina",794
"Rockingham County, North Carolina",364
"Rowan County, North Carolina",1735
"Surry County, North Carolina",387
"Union County, North Carolina",4697
"Wake County, North Carolina",22153
"Wayne County, North Carolina",1097
"Wilkes County, North Carolina",79
"Wilson County, North Carolina",960
"Burleigh County, North Dakota",834
"Cass County, North Dakota",2115
"Grand Forks County, North Dakota",896
"Ward County, North Dakota",264
"Allen County, Ohio",208
"Ashtabula County, Ohio",368
"Belmont County, Ohio",138
"Butler County, Ohio",2885
"Clark County, Ohio",65
"Clermont County, Ohio",1035
"Columbiana County, Ohio",443
"Cuyahoga County, Ohio",3256
"Delaware County, Ohio",4174
"Erie County, Ohio",129
"Fairfield County, Ohio",1175
"Franklin County, Ohio",11523
"Geauga County, Ohio",128
"Greene County, Ohio",777
"Hamilton County, Ohio",2902
"Hancock County, Ohio",345
"Lake County, Ohio",1469
"Licking County, Ohio",1164
"Lorain County, Ohio",2028
"Lucas County, Ohio",1806
"Mahoning County, Ohio",358
"Marion County, Ohio",35
"Medina County, Ohio",786
"Miami County, Ohio",508
"Montgomery County, Ohio",2193
"Muskingum County, Ohio",381
"Portage County, Ohio",1266
"Richland County, Ohio",403
"Ross County, Ohio",844
"Scioto County, Ohio",359
"Stark County, Ohio",1259
"Summit County, Ohio",2005
"Trumbull County, Ohio",324
"Tuscarawas County, Ohio",216
"Union County, Ohio",1123
"Warren County, Ohio",3114
"Wayne County, Ohio",422
"Wood County, Ohio",627
"Canadian County, Oklahoma",3740
"Cleveland County, Oklahoma",2485
"Comanche County, Oklahoma",1100
"Creek County, Oklahoma",784
"Muskogee County, Oklahoma",456
"Oklahoma County, Oklahoma",6709
"Payne County, Oklahoma",988
"Pottawatomie County, Oklahoma",492
"Rogers County, Oklahoma",1296
"Tulsa County, Oklahoma",3413
"Wagoner County, Oklahoma",1504
"Benton County, Oregon",726
"Clackamas County, Oregon",3947
"Deschutes County, Oregon",5234
"Douglas County, Oregon",1412
"Jackson County, Oregon",2612
"Josephine County, Oregon",495
"Klamath County, Oregon",260
"Lane County, Oregon",2594
"Linn County, Oregon",921
"Marion County, Oregon",3473
"Multnomah County, Oregon",4829
"Polk County, Oregon",693
"Umatilla County, Oregon",489
"Washington County, Oregon",5544
"Yamhill County, Oregon",801
"Adams County, Pennsylvania",132
"Allegheny County, Pennsylvania",4335
"Armstrong County, Pennsylvania",151
"Beaver County, Pennsylvania",347
"Berks County, Pennsylvania",2413
"Blair County, Pennsylvania",279
"Bucks County, Pennsylvania",1640
"Butler County, Pennsylvania",2231
"Cambria County, Pennsylvania",227
"Carbon County, Pennsylvania",170
"Centre County, Pennsylvania",522
"Chester County, Pennsylvania",4650
"Clearfield County, Pennsylvania",143
"Crawford County, Pennsylvania",250
"Cumberland County, Pennsylvania",2047
"Dauphin County, Pennsylvania",1336
"Delaware County, Pennsylvania",693
"Erie County, Pennsylvania",377
"Fayette County, Pennsylvania",163
"Franklin County, Pennsylvania",806
"Indiana County, Pennsylvania",211
"Lackawanna County, Pennsylvania",434
"Lancaster County, Pennsylvania",3207
"Lawrence County, Pennsylvania",91
"Lebanon County, Pennsylvania",1738
"Lehigh County, Pennsylvania",1455
"Luzerne County, Pennsylvania",743
"Lycoming County, Pennsylvania",98
"Mercer County, Pennsylvania",234
"Monroe County, Pennsylvania",436
"Montgomery County, Pennsylvania",4328
"Northampton County, Pennsylvania",1213
"Northumberland County, Pennsylvania",378
"Philadelphia County, Pennsylvania",7490
"Schuylkill County, Pennsylvania",166
"Somerset County, Pennsylvania",117
"Washington County, Pennsylvania",1334
"Westmoreland County, Pennsylvania",1050
"York County, Pennsylvania",2702
